CITY_CODE,STATE,NUM_PARTICIPANTS,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CITY,FAMILY_INCOME_SM_AVG,CLUSTER
4213609,SC,415,530.8106024096386,540.4737349397591,525.4161445783133,539.0385542168675,523.3734939759037,531.8225060240964,PORTO UNIÃO,2.2786975717439293,2
4214201,SC,329,513.029179331307,516.1866261398176,493.8203647416413,518.7741641337386,521.6413373860182,512.6903343465044,QUILOMBO,1.9580357142857143,1
4214805,SC,1555,531.2299035369775,540.8686816720258,527.0419935691318,547.8724758842443,557.7234726688102,540.9473054662379,RIO DO SUL,2.734670487106017,2
4215000,SC,622,514.3889067524116,527.157073954984,513.0218649517684,529.2012861736334,531.5755627009646,523.0689389067524,RIO NEGRINHO,2.4591679506933746,2
4215802,SC,1436,521.9202646239554,538.708426183844,523.5223537604456,542.3815459610028,546.6991643454039,534.6463509749303,SÃO BENTO DO SUL,2.639618511569731,2
4216206,SC,533,522.355722326454,537.0339587242025,526.0506566604128,527.640712945591,517.8611632270168,526.1884427767354,SÃO FRANCISCO DO SUL,2.4903598971722367,2
4216503,SC,224,513.0013392857143,524.9714285714286,509.246875,516.0352678571428,520.625,516.7759821428572,SÃO JOAQUIM,2.234631147540984,1
4216602,SC,3881,536.1735377480031,546.2697758309714,534.6655243493944,549.2617881989178,543.4887915485699,541.9718835351714,SÃO JOSÉ,2.6294060370009738,2
4216909,SC,728,513.5412087912088,526.703021978022,509.0909340659341,527.8888736263735,522.967032967033,520.0382142857143,SÃO LOURENÇO DO OESTE,2.233955659276546,2
4217204,SC,1368,525.5074561403509,540.9675438596491,518.4458333333333,542.3945906432749,543.3479532163743,534.1326754385965,SÃO MIGUEL DO OESTE,2.4967754172989376,2
4217501,SC,405,533.5212345679013,542.9735802469136,519.1839506172839,553.1617283950617,546.1728395061729,539.0026666666666,SEARA,2.547348484848485,2
4217709,SC,1024,510.60634765625,522.86044921875,514.2603515625,518.3015625,518.046875,516.8151171875,SOMBRIO,2.125375939849624,1
4217808,SC,401,513.5573566084788,530.896259351621,507.9970074812968,533.8922693266833,531.2718204488779,523.5229426433915,TAIÓ,2.27375,2
4218004,SC,705,512.2191489361702,525.1578723404256,519.2181560283688,529.9221276595745,532.6808510638298,523.8396312056738,TIJUCAS,2.444385593220339,2
4218202,SC,496,527.923185483871,539.0300403225807,526.2149193548387,543.0072580645161,537.4596774193549,534.7270161290322,TIMBÓ,2.879139072847682,2
4218707,SC,2435,522.6743737166324,532.1701848049281,521.8914168377823,538.6030390143737,549.4209445585216,532.9519917864476,TUBARÃO,2.543592794017675,2
4219309,SC,1126,527.1345470692718,539.1886323268207,524.9914742451155,544.0358792184725,542.0603907637656,535.4821847246892,VIDEIRA,2.6149962602842183,2
4219507,SC,1311,520.9868802440885,532.6967200610221,515.0170099160946,529.079176201373,534.1266209000763,526.381281464531,XANXERÊ,2.421751968503937,2
4219705,SC,388,527.4353092783505,539.191237113402,520.9886597938145,547.3198453608247,544.5876288659794,535.9045360824741,XAXIM,2.39453125,2
4300406,RS,2175,507.2976551724137,515.5926436781609,511.0452413793103,510.9276321839081,512.919540229885,511.5565425287356,ALEGRETE,1.806344849854698,1
4300604,RS,3017,501.75773947630097,521.1932051706993,520.846105402718,510.0710308253232,516.8114020550215,514.1358965860126,ALVORADA,1.981253779479944,1
4301008,RS,190,546.1794736842105,554.7578947368421,534.5152631578947,583.1521052631579,603.2631578947369,564.3735789473683,ARROIO DO MEIO,2.9375,2
4301305,RS,401,492.9546134663341,506.2917705735661,510.61346633416457,509.03466334164585,509.9750623441397,505.77391521197006,ARROIO GRANDE,1.4442246835443038,1
4301602,RS,3120,508.90163461538464,516.1485897435898,516.2301923076923,513.4994871794871,494.4230769230769,509.84059615384615,BAGÉ,1.6586636697997548,1
4302105,RS,1441,535.8628036086052,552.8849410131853,538.917626648161,562.0932685634975,571.7557251908397,552.3028730048577,BENTO GONÇALVES,2.7344662772172064,2
4302709,RS,467,503.6631691648823,520.6374732334048,523.3644539614561,520.9925053533191,529.9357601713062,519.7186723768737,BUTIÁ,1.9048951048951048,1
4302808,RS,824,508.3436893203884,517.7288834951456,514.2241504854369,517.1108009708738,501.1407766990291,511.7096601941747,CAÇAPAVA DO SUL,1.7586730268863833,1
4303004,RS,2187,517.56410608139,529.7124828532236,522.2657978966621,524.3233196159123,522.9172382258802,523.3565889346137,CACHOEIRA DO SUL,1.9943664271717831,2
4303103,RS,2988,515.4335341365462,532.3465863453815,532.4951807228916,530.4994310575636,533.326639892905,528.8202744310576,CACHOEIRINHA,2.3361892873354515,2
4303509,RS,2210,507.1762895927602,520.5923981900452,513.99407239819,517.6529864253395,535.3393665158371,518.9510226244344,CAMAQUÃ,1.7695173307418206,1
